"age","year","unit","season","area","iter","data"
1,2000,1,"all","unique",1,0.512
2,2000,1,"all","unique",1,0.368
3,2000,1,"all","unique",1,0.304
4,2000,1,"all","unique",1,0.269
5,2000,1,"all","unique",1,0.247
6,2000,1,"all","unique",1,0.233
7,2000,1,"all","unique",1,0.223
1,2001,1,"all","unique",1,0.512
2,2001,1,"all","unique",1,0.368
3,2001,1,"all","unique",1,0.304
4,2001,1,"all","unique",1,0.269
5,2001,1,"all","unique",1,0.247
6,2001,1,"all","unique",1,0.233
7,2001,1,"all","unique",1,0.223
1,2002,1,"all","unique",1,0.512
2,2002,1,"all","unique",1,0.368
3,2002,1,"all","unique",1,0.304
4,2002,1,"all","unique",1,0.269
5,2002,1,"all","unique",1,0.247
6,2002,1,"all","unique",1,0.233
7,2002,1,"all","unique",1,0.223
1,2003,1,"all","unique",1,0.512
2,2003,1,"all","unique",1,0.368
3,2003,1,"all","unique",1,0.304
4,2003,1,"all","unique",1,0.269
5,2003,1,"all","unique",1,0.247
6,2003,1,"all","unique",1,0.233
7,2003,1,"all","unique",1,0.223
1,2004,1,"all","unique",1,0.512
2,2004,1,"all","unique",1,0.368
3,2004,1,"all","unique",1,0.304
4,2004,1,"all","unique",1,0.269
5,2004,1,"all","unique",1,0.247
6,2004,1,"all","unique",1,0.233
7,2004,1,"all","unique",1,0.223
1,2005,1,"all","unique",1,0.512
2,2005,1,"all","unique",1,0.368
3,2005,1,"all","unique",1,0.304
4,2005,1,"all","unique",1,0.269
5,2005,1,"all","unique",1,0.247
6,2005,1,"all","unique",1,0.233
7,2005,1,"all","unique",1,0.223
1,2006,1,"all","unique",1,0.512
2,2006,1,"all","unique",1,0.368
3,2006,1,"all","unique",1,0.304
4,2006,1,"all","unique",1,0.269
5,2006,1,"all","unique",1,0.247
6,2006,1,"all","unique",1,0.233
7,2006,1,"all","unique",1,0.223
1,2007,1,"all","unique",1,0.512
2,2007,1,"all","unique",1,0.368
3,2007,1,"all","unique",1,0.304
4,2007,1,"all","unique",1,0.269
5,2007,1,"all","unique",1,0.247
6,2007,1,"all","unique",1,0.233
7,2007,1,"all","unique",1,0.223
1,2008,1,"all","unique",1,0.512
2,2008,1,"all","unique",1,0.368
3,2008,1,"all","unique",1,0.304
4,2008,1,"all","unique",1,0.269
5,2008,1,"all","unique",1,0.247
6,2008,1,"all","unique",1,0.233
7,2008,1,"all","unique",1,0.223
1,2009,1,"all","unique",1,0.512
2,2009,1,"all","unique",1,0.368
3,2009,1,"all","unique",1,0.304
4,2009,1,"all","unique",1,0.269
5,2009,1,"all","unique",1,0.247
6,2009,1,"all","unique",1,0.233
7,2009,1,"all","unique",1,0.223
1,2010,1,"all","unique",1,0.512
2,2010,1,"all","unique",1,0.368
3,2010,1,"all","unique",1,0.304
4,2010,1,"all","unique",1,0.269
5,2010,1,"all","unique",1,0.247
6,2010,1,"all","unique",1,0.233
7,2010,1,"all","unique",1,0.223
1,2011,1,"all","unique",1,0.512
2,2011,1,"all","unique",1,0.368
3,2011,1,"all","unique",1,0.304
4,2011,1,"all","unique",1,0.269
5,2011,1,"all","unique",1,0.247
6,2011,1,"all","unique",1,0.233
7,2011,1,"all","unique",1,0.223
1,2012,1,"all","unique",1,0.512
2,2012,1,"all","unique",1,0.368
3,2012,1,"all","unique",1,0.304
4,2012,1,"all","unique",1,0.269
5,2012,1,"all","unique",1,0.247
6,2012,1,"all","unique",1,0.233
7,2012,1,"all","unique",1,0.223
1,2013,1,"all","unique",1,0.512
2,2013,1,"all","unique",1,0.368
3,2013,1,"all","unique",1,0.304
4,2013,1,"all","unique",1,0.269
5,2013,1,"all","unique",1,0.247
6,2013,1,"all","unique",1,0.233
7,2013,1,"all","unique",1,0.223
1,2014,1,"all","unique",1,0.512
2,2014,1,"all","unique",1,0.368
3,2014,1,"all","unique",1,0.304
4,2014,1,"all","unique",1,0.269
5,2014,1,"all","unique",1,0.247
6,2014,1,"all","unique",1,0.233
7,2014,1,"all","unique",1,0.223
1,2015,1,"all","unique",1,0.512
2,2015,1,"all","unique",1,0.368
3,2015,1,"all","unique",1,0.304
4,2015,1,"all","unique",1,0.269
5,2015,1,"all","unique",1,0.247
6,2015,1,"all","unique",1,0.233
7,2015,1,"all","unique",1,0.223
1,2016,1,"all","unique",1,0.512
2,2016,1,"all","unique",1,0.368
3,2016,1,"all","unique",1,0.304
4,2016,1,"all","unique",1,0.269
5,2016,1,"all","unique",1,0.247
6,2016,1,"all","unique",1,0.233
7,2016,1,"all","unique",1,0.223
